Zip,City,Sample_Size,Conservative_Multiple,Moderate_Multiple,Aggressive_Multiple,Median_Sale_Price,Min_Multiple,Max_Multiple,County,Median_Price,Mean_Multiple,Median_Multiple,StdDev
30307,Atlanta,28,2.91,3.23,3.71,1197500.0,2.43,6.97,Arv,,,,
30340,Atlanta,11,2.87,3.19,3.67,600000.0,2.52,4.35,Arv,,,,
30083,Stone Mountain,11,2.85,3.17,3.16,350000.0,2.26,3.51,Arv,,,,
30306,Atlanta,16,2.78,3.09,3.55,1325000.0,2.28,9.83,Arv,,,,
30317,Atlanta,21,2.77,3.08,3.54,750000.0,2.37,14.32,Arv,,,,
30338,Atlanta,61,2.61,2.9,3.33,880000.0,2.15,4.44,Arv,,,,
30319,Brookhaven,87,2.59,2.88,3.31,1175000.0,2.09,8.85,Arv,,,,
30360,Atlanta,11,2.56,2.85,3.28,737625.0,2.5,4.91,Arv,,,,
30341,Atlanta,35,2.55,2.83,3.25,785000.0,2.31,10.76,Arv,,,,
30087,Stone Mountain,32,2.54,2.82,3.24,403500.0,1.71,4.63,Arv,,,,
30345,Atlanta,29,2.53,2.81,3.23,865000.0,1.55,4.16,Arv,,,,
30030,Decatur,48,2.49,2.77,3.19,994000.0,1.87,7.83,Arv,,,,
30034,Decatur,12,2.47,2.74,3.15,387500.0,1.8,4.22,Arv,,,,
30316,Atlanta,22,2.47,2.74,3.15,575000.0,1.6,3.69,Arv,,,,
30084,Tucker,17,2.46,2.73,2.96,550000.0,2.36,3.29,Arv,,,,
30033,Decatur,24,2.44,2.71,3.12,793700.0,2.27,5.51,Arv,,,,
30032,Decatur,20,2.44,2.71,3.12,487500.0,1.67,4.21,Arv,,,,
30038,Lithonia,18,2.41,2.68,3.08,401798.0,2.18,19.93,Arv,,,,
30058,Lithonia,32,2.37,2.63,3.02,353000.0,1.98,4.81,Arv,,,,
30008,Marietta,5,2.33,2.39,2.52,,2.08,2.72,Cobb,272395.0,,,
30060,Marietta,18,2.14,2.4,2.94,,1.76,4.36,Cobb,263000.0,,,
30062,Marietta,22,2.17,2.3,2.48,,1.74,3.67,Cobb,370000.0,,,
30064,Marietta,24,2.03,2.6,2.86,,1.89,4.64,Cobb,347450.0,,,
30066,Marietta,20,1.86,2.13,2.48,,1.6,2.69,Cobb,279750.0,,,
30067,Marietta,10,2.01,2.17,2.4,,1.56,4.45,Cobb,299750.0,,,
30068,Marietta,17,2.25,2.45,2.96,,1.6,4.41,Cobb,455000.0,,,
30075,Roswell,3,1.84,2.11,2.13,,1.56,2.15,Cobb,466000.0,,,
30080,Smyrna,23,2.04,2.33,2.5,,1.56,3.61,Cobb,291000.0,,,
30082,Smyrna,11,2.16,2.46,2.56,,2.05,4.22,Cobb,252500.0,,,
30101,Acworth,8,1.65,1.75,2.56,,1.57,4.97,Cobb,280000.0,,,
30102,Acworth,6,1.81,2.12,2.46,,1.65,2.81,Cobb,312500.0,,,
30106,Austell,6,1.83,2.25,2.61,,1.51,2.96,Cobb,240000.0,,,
30126,Mableton,22,1.99,2.15,2.54,,1.62,3.99,Cobb,288500.0,,,
30127,Powder Springs,26,1.74,2.09,2.46,,1.56,4.4,Cobb,227000.0,,,
30144,Kennesaw,11,1.99,2.04,2.31,,1.79,2.84,Cobb,298379.0,,,
30152,Kennesaw,11,1.78,1.83,2.5,,1.57,4.69,Cobb,309000.0,,,
30168,Austell,5,1.74,1.76,1.77,,1.54,2.06,Cobb,180000.0,,,
30339,Atlanta,9,2.4,2.54,2.55,,2.31,2.62,Cobb,485000.0,,,
30314,Atlanta,7,2.2436324001835706,3.1351706036745406,4.703377166766288,,1.774847870182556,7.800224466891134,Fulton,278000.0,3.80060886780685,3.1351706036745406,2.1225743324048496
30315,Atlanta,9,2.1760289210233594,3.0409192825112106,3.25451647183847,,1.8542757417102969,4.011705685618729,Fulton,239900.0,2.812769421610844,3.0409192825112106,0.7310636644460291
30311,Atlanta,14,2.0858939214487657,2.767029771293376,2.9349971810735243,,1.6926201760324984,5.162099575453493,Fulton,281350.0,2.76426714661361,2.767029771293376,0.9228803929664388
30213,Fairburn,9,2.5441696113074204,2.6779483600837404,2.888742159128425,,2.264353699723672,3.87323943661972,Fulton,298000.0,2.829611583772655,2.6779483600837404,0.4930198963175614
30331,Atlanta,29,2.2694145758661888,2.651385562777968,3.318077803203661,,1.351851851851852,6.073068094873757,Fulton,280000.0,2.910114954742588,2.651385562777968,1.0931236670660154
30349,Atlanta,17,2.413127413127413,2.623456790123457,3.0076081787922018,,2.207771355170199,4.246530072703239,Fulton,271000.0,2.8487733156196677,2.623456790123457,0.6434879711224736
30005,Alpharetta,5,2.4719841793012525,2.589967284623773,2.5992808005003125,,1.7990637881646057,2.8426573426573425,Fulton,1030000.0,2.4605906790494574,2.589967284623773,0.3936038079434102
30318,Atlanta,11,1.9181495857231337,2.343935437930216,2.446596681382852,,0.6948304613674263,3.6905412793876433,Fulton,270000.0,2.233378726625693,2.343935437930216,0.740419556134456
30344,Atlanta,9,1.8303186907838072,2.1050540368722186,2.6955867602808423,,1.3293310463121784,4.41247582205029,Fulton,215000.0,2.3500781293092508,2.1050540368722186,0.905471798548749
30310,Atlanta,9,1.85447562214322,1.9161982626469083,3.5357603092783507,,1.4701401584399756,5.197895791583166,Fulton,300000.0,2.6472356784607216,1.9161982626469083,1.2946478233054084
30047,Lilburn,5,2.7573529411764706,3.079021471312918,3.106060606060606,,2.339219820769636,3.2073813708260106,Gwinnett,365000.0,2.8978072420291285,3.079021471312918,0.3548913635054508
30046,Lawrenceville,9,2.401075022872828,2.71370420624152,2.8306973400431343,,2.1461057418988063,4.6419714817110975,Gwinnett,365000.0,2.7952744555586766,2.71370420624152,0.7365204106728318
30039,Snellville,12,2.263647557406797,2.5671092828929023,2.602437665609469,,2.203475195164946,3.2981978918735124,Gwinnett,380000.0,2.5537082503840938,2.5671092828929023,0.3176804705407884
30043,Lawrenceville,7,2.417175094978404,2.529447296889157,2.563826781890426,,2.3035373861470028,2.8492347769456203,Gwinnett,359900.0,2.5206033162456345,2.529447296889157,0.1784747583774949
30044,Lawrenceville,7,2.375563448277972,2.442002442002442,2.81249248908308,,1.7809086591736585,3.1505040806529045,Gwinnett,405000.0,2.535646722364444,2.442002442002442,0.442021951178241
30052,Loganville,5,2.2740918643050136,2.331730769230769,2.575,,2.153316106804479,2.851587815942968,Gwinnett,352000.0,2.437145311256646,2.331730769230769,0.277949714171684
30017,Grayson,5,2.0290909090909093,2.1504535502033155,2.900586223742061,,2.028539451594852,3.277231467473525,Gwinnett,446400.0,2.4771803204209326,2.1504535502033155,0.5762307543361626
30274,Riverdale,6,2.570750402015205,3.231009641417913,3.494955334098834,,2.162075592568866,4.81890730509515,Clayton,251200.0,3.229433900173325,3.231009641417913,0.9473360197162232
30296,Riverdale,7,2.7477522115338138,2.9258777633289985,3.2654496886100057,,2.037380153403644,3.4627329192546585,Clayton,250000.0,2.9217706623249917,2.9258777633289985,0.479164664931246
30236,Jonesboro,14,2.1635944597174737,2.909071560152882,3.2322120644443224,,1.720183486238532,4.4778384942319365,Clayton,269950.0,2.823401553812414,2.909071560152882,0.7915161105799553
30260,Morrow,7,2.5649051349933005,2.814080944350759,3.201771793775824,,1.885057471264368,3.6273940800928615,Clayton,237000.0,2.8371266218923195,2.814080944350759,0.6085253830999888
30238,Jonesboro,13,2.385831381733021,2.777908067542214,2.863896848137536,,1.8663011387600168,3.857655502392344,Clayton,230000.0,2.7344031311121237,2.777908067542214,0.5383811884591546
